rank	score	candidate disease	disease_identifier
1	1.0	Glutaric aciduria type 1	MONDO:0000129
2	0.5	Mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes (MELAS)	MONDO:0016825
3	0.3333	Pelizaeus-Merzbacher disease	MONDO:0017226
4	0.25	Neurodegeneration with brain iron accumulation	MONDO:0018307
5	0.2	Niemann-Pick disease type C	MONDO:0018982
6	0.1667	Metachromatic leukodystrophy	MONDO:0018868
7	0.1429	Rett syndrome	MONDO:0010726
8	0.125	Alexander disease	MONDO:0008752
9	0.1111	Canavan disease	MONDO:0010079
10	0.1	Leigh syndrome	MONDO:0009723
